Contract Signing Date,Major Sector,Region,Supplier Country Code,Supplier Country,Borrower Country Code,Borrower Country,Contract Description,Total Contract Amount (USD)
1/1/1922 0:00,Robert J. Oppenheimer,,NYC,NYC,Boston,Boston,Attending Harvard (undergrad),$100.00 
1/1/1924 0:00,Robert J. Oppenheimer,,Boston,Boston,England,England,Grad school under JJ Thomson,$100.00 
1/1/1926 0:00,Robert J. Oppenheimer,,England,England,Gottingen,Gottingen,Study theoretical physics under Max Born at the Institute for Theoretical Physics at the University of Göttingen in German,$100.00 
1/1/1927 0:00,Robert J. Oppenheimer,,Gottingen,Gottingen,Berkeley,Berkeley,Taught theoretical physics at Berkeley and California Insitute of Technology,$100.00 
1/1/1943 0:00,Robert J. Oppenheimer,,Berkeley,Berkeley,Stanford,Stanford,Recruiting scientists for the Manhattan Project,$100.00 
1/2/1943 0:00,Robert J. Oppenheimer,,Stanford,Stanford,Minnesota,Minnesota,Recruiting scientists for the Manhattan Project,$100.00 
1/3/1943 0:00,Robert J. Oppenheimer,,Minnesota,Minnesota,Ithica,Ithica,Recruiting scientists for the Manhattan Project,$100.00 
1/4/1943 0:00,Robert J. Oppenheimer,,Ithica,Ithica,Princeton,Princeton,Recruiting scientists for the Manhattan Project,$100.00 
1/4/1944 0:00,Robert J. Oppenheimer,,Princeton,Princeton,Los Alamos,Los Alamos,Headed the laboratory at Los Alamos,$100.00 
1/4/1947 0:00,Robert J. Oppenheimer,,Los Alamos,Los Alamos,Princeton,Princeton,Continued researching at the Institute for Advanced Study,$100.00 
